gutenberg_id	bytes	source_path	repo_path
2536	537	2/5/3/2536/LICENSE.txt	books_txt/2536.txt
2542	537	2/5/4/2542/LICENSE.txt	books_txt/2542.txt
2554	537	2/5/5/2554/LICENSE.txt	books_txt/2554.txt
2605	537	2/6/0/2605/LICENSE.txt	books_txt/2605.txt
2607	537	2/6/0/2607/LICENSE.txt	books_txt/2607.txt
2609	537	2/6/0/2609/LICENSE.txt	books_txt/2609.txt
2619	537	2/6/1/2619/LICENSE.txt	books_txt/2619.txt
2620	537	2/6/2/2620/LICENSE.txt	books_txt/2620.txt
2621	537	2/6/2/2621/LICENSE.txt	books_txt/2621.txt
2622	537	2/6/2/2622/LICENSE.txt	books_txt/2622.txt
2677	537	2/6/7/2677/LICENSE.txt	books_txt/2677.txt
2680	539	2/6/8/2680/LICENSE.txt	books_txt/2680.txt
2701	537	2/7/0/2701/LICENSE.txt	books_txt/2701.txt
2737	537	2/7/3/2737/LICENSE.txt	books_txt/2737.txt
2775	537	2/7/7/2775/LICENSE.txt	books_txt/2775.txt
2800	537	2/8/0/2800/LICENSE.txt	books_txt/2800.txt
2810	537	2/8/1/2810/LICENSE.txt	books_txt/2810.txt
2818	537	2/8/1/2818/LICENSE.txt	books_txt/2818.txt
2868	537	2/8/6/2868/LICENSE.txt	books_txt/2868.txt
2892	537	2/8/9/2892/LICENSE.txt	books_txt/2892.txt
3011	537	3/0/1/3011/LICENSE.txt	books_txt/3011.txt
3016	537	3/0/1/3016/LICENSE.txt	books_txt/3016.txt
3084	537	3/0/8/3084/LICENSE.txt	books_txt/3084.txt
3090	537	3/0/9/3090/LICENSE.txt	books_txt/3090.txt
3127	537	3/1/2/3127/LICENSE.txt	books_txt/3127.txt
3160	537	3/1/6/3160/LICENSE.txt	books_txt/3160.txt
3201	537	3/2/0/3201/LICENSE.txt	books_txt/3201.txt
3292	537	3/2/9/3292/LICENSE.txt	books_txt/3292.txt
3333	537	3/3/3/3333/LICENSE.txt	books_txt/3333.txt
3409	537	3/4/0/3409/LICENSE.txt	books_txt/3409.txt
3567	537	3/5/6/3567/LICENSE.txt	books_txt/3567.txt
3638	537	3/6/3/3638/LICENSE.txt	books_txt/3638.txt
3695	537	3/6/9/3695/LICENSE.txt	books_txt/3695.txt
3748	537	3/7/4/3748/LICENSE.txt	books_txt/3748.txt
4032	537	4/0/3/4032/LICENSE.txt	books_txt/4032.txt
4045	537	4/0/4/4045/LICENSE.txt	books_txt/4045.txt
4085	537	4/0/8/4085/LICENSE.txt	books_txt/4085.txt
4240	537	4/2/4/4240/LICENSE.txt	books_txt/4240.txt
4361	537	4/3/6/4361/LICENSE.txt	books_txt/4361.txt
4367	537	4/3/6/4367/LICENSE.txt	books_txt/4367.txt
4368	537	4/3/6/4368/LICENSE.txt	books_txt/4368.txt
4383	537	4/3/8/4383/LICENSE.txt	books_txt/4383.txt
4396	537	4/3/9/4396/LICENSE.txt	books_txt/4396.txt
4397	537	4/3/9/4397/LICENSE.txt	books_txt/4397.txt
4526	537	4/5/2/4526/LICENSE.txt	books_txt/4526.txt
4540	537	4/5/4/4540/LICENSE.txt	books_txt/4540.txt
4917	537	4/9/1/4917/LICENSE.txt	books_txt/4917.txt
4933	537	4/9/3/4933/LICENSE.txt	books_txt/4933.txt
4957	537	4/9/5/4957/LICENSE.txt	books_txt/4957.txt
4958	537	4/9/5/4958/LICENSE.txt	books_txt/4958.txt
4959	537	4/9/5/4959/LICENSE.txt	books_txt/4959.txt
4972	537	4/9/7/4972/LICENSE.txt	books_txt/4972.txt
5000	537	5/0/0/5000/LICENSE.txt	books_txt/5000.txt
5072	537	5/0/7/5072/LICENSE.txt	books_txt/5072.txt
5136	537	5/1/3/5136/LICENSE.txt	books_txt/5136.txt
5152	537	5/1/5/5152/LICENSE.txt	books_txt/5152.txt
5173	537	5/1/7/5173/LICENSE.txt	books_txt/5173.txt
5180	537	5/1/8/5180/LICENSE.txt	books_txt/5180.txt
5185	537	5/1/8/5185/LICENSE.txt	books_txt/5185.txt
5197	537	5/1/9/5197/LICENSE.txt	books_txt/5197.txt
5200	537	5/2/0/5200/LICENSE.txt	books_txt/5200.txt
5242	537	5/2/4/5242/LICENSE.txt	books_txt/5242.txt
5243	537	5/2/4/5243/LICENSE.txt	books_txt/5243.txt
5244	537	5/2/4/5244/LICENSE.txt	books_txt/5244.txt
5245	537	5/2/4/5245/LICENSE.txt	books_txt/5245.txt
5247	537	5/2/4/5247/LICENSE.txt	books_txt/5247.txt
5257	537	5/2/5/5257/LICENSE.txt	books_txt/5257.txt
5273	537	5/2/7/5273/LICENSE.txt	books_txt/5273.txt
5350	537	5/3/5/5350/LICENSE.txt	books_txt/5350.txt
5620	537	5/6/2/5620/LICENSE.txt	books_txt/5620.txt
5642	537	5/6/4/5642/LICENSE.txt	books_txt/5642.txt
5663	537	5/6/6/5663/LICENSE.txt	books_txt/5663.txt
5664	537	5/6/6/5664/LICENSE.txt	books_txt/5664.txt
5665	537	5/6/6/5665/LICENSE.txt	books_txt/5665.txt
5666	537	5/6/6/5666/LICENSE.txt	books_txt/5666.txt
5678	537	5/6/7/5678/LICENSE.txt	books_txt/5678.txt
5679	537	5/6/7/5679/LICENSE.txt	books_txt/5679.txt
5680	537	5/6/8/5680/LICENSE.txt	books_txt/5680.txt
5682	537	5/6/8/5682/LICENSE.txt	books_txt/5682.txt
5685	537	5/6/8/5685/LICENSE.txt	books_txt/5685.txt
5860	537	5/8/6/5860/LICENSE.txt	books_txt/5860.txt
5861	537	5/8/6/5861/LICENSE.txt	books_txt/5861.txt
5998	537	5/9/9/5998/LICENSE.txt	books_txt/5998.txt
5999	537	5/9/9/5999/LICENSE.txt	books_txt/5999.txt
6048	537	6/0/4/6048/LICENSE.txt	books_txt/6048.txt
6130	537	6/1/3/6130/LICENSE.txt	books_txt/6130.txt
6133	537	6/1/3/6133/LICENSE.txt	books_txt/6133.txt
6400	537	6/4/0/6400/LICENSE.txt	books_txt/6400.txt
6593	537	6/5/9/6593/LICENSE.txt	books_txt/6593.txt
6621	537	6/6/2/6621/LICENSE.txt	books_txt/6621.txt
6704	537	6/7/0/6704/LICENSE.txt	books_txt/6704.txt
6753	537	6/7/5/6753/LICENSE.txt	books_txt/6753.txt
6955	537	6/9/5/6955/LICENSE.txt	books_txt/6955.txt
7005	537	7/0/0/7005/LICENSE.txt	books_txt/7005.txt
7027	537	7/0/2/7027/LICENSE.txt	books_txt/7027.txt
7038	537	7/0/3/7038/LICENSE.txt	books_txt/7038.txt
7142	537	7/1/4/7142/LICENSE.txt	books_txt/7142.txt
7423	537	7/4/2/7423/LICENSE.txt	books_txt/7423.txt
7478	537	7/4/7/7478/LICENSE.txt	books_txt/7478.txt
7516	537	7/5/1/7516/LICENSE.txt	books_txt/7516.txt
7787	537	7/7/8/7787/LICENSE.txt	books_txt/7787.txt
7849	537	7/8/4/7849/LICENSE.txt	books_txt/7849.txt
8164	537	8/1/6/8164/LICENSE.txt	books_txt/8164.txt
8176	537	8/1/7/8176/LICENSE.txt	books_txt/8176.txt
8203	537	8/2/0/8203/LICENSE.txt	books_txt/8203.txt
8300	537	8/3/0/8300/LICENSE.txt	books_txt/8300.txt
8373	537	8/3/7/8373/LICENSE.txt	books_txt/8373.txt
8492	537	8/4/9/8492/LICENSE.txt	books_txt/8492.txt
8596	537	8/5/9/8596/LICENSE.txt	books_txt/8596.txt
8724	537	8/7/2/8724/LICENSE.txt	books_txt/8724.txt
8800	537	8/8/0/8800/LICENSE.txt	books_txt/8800.txt
9182	537	9/1/8/9182/LICENSE.txt	books_txt/9182.txt
9512	814	9/5/1/9512/9512-readme.txt	books_txt/9512.txt
9513	845	9/5/1/9513/9513-readme.txt	books_txt/9513.txt
9514	537	9/5/1/9514/LICENSE.txt	books_txt/9514.txt
9515	798	9/5/1/9515/9515-readme.txt	books_txt/9515.txt
9516	845	9/5/1/9516/9516-readme.txt	books_txt/9516.txt
9656	537	9/6/5/9656/LICENSE.txt	books_txt/9656.txt
9658	537	9/6/5/9658/LICENSE.txt	books_txt/9658.txt
9806	537	9/8/0/9806/LICENSE.txt	books_txt/9806.txt
9830	537	9/8/3/9830/LICENSE.txt	books_txt/9830.txt
9881	537	9/8/8/9881/LICENSE.txt	books_txt/9881.txt
9920	537	9/9/2/9920/LICENSE.txt	books_txt/9920.txt
10116	537	1/0/1/1/10116/LICENSE.txt	books_txt/10116.txt
10148	537	1/0/1/4/10148/LICENSE.txt	books_txt/10148.txt
10310	679	1/0/3/1/10310/10310-0.txt	books_txt/10310.txt
10368	537	1/0/3/6/10368/LICENSE.txt	books_txt/10368.txt
10378	537	1/0/3/7/10378/LICENSE.txt	books_txt/10378.txt
10470	772	1/0/4/7/10470/10470-0.txt	books_txt/10470.txt
10486	843	1/0/4/8/10486/10486-0.txt	books_txt/10486.txt
10487	843	1/0/4/8/10487/10487-0.txt	books_txt/10487.txt
10488	800	1/0/4/8/10488/10488-0.txt	books_txt/10488.txt
